ASSOC	G.PVAL	I.PVAL	rs0000001	rs0000002	rs0000003	rs0000004	rs0000005	rs0000006	rs0000007	rs0000008	rs0000009	rs00000010	rs00000011	rs00000012	rs00000013	rs00000014	rs00000015	rs00000016	rs00000017
-	0.02381	1		1	1	1													
-	5.00E-05	1			1	1	1												
-	4.00E-05	1				1	1	1											
-	0.00297	1					1	1	1										
-	0.04246	1						1	1	1									
-	0.00048	1							1	1	1								
-	0.00132	1								1	1	1							
-	0.00887	1									1	1	1						
-	0.01046	1											1	1	1				
-	0.00784	1												1	1	1			
-	4.00E-04	1													1	1	1		
-	0.01064	1														1	1	1	
