ASSOC	SNP.NAME	LOC	SS.PVAL
+	rs0000001	50017600	0.0082
+	rs0000002	50056889	0.0101
+	rs0000003	50343044	0.00754
+	rs0000004	50373804	0.0391
+	rs0000005	50375238	2.58E-05
+	rs0000006	50492148	0.0128
+	rs0000007	50522339	0.0504
+	rs0000008	50542551	0.222
+	rs0000009	50623862	0.00269
+	rs00000010	50646467	0.0695
+	rs00000011	50658231	0.341
+	rs00000012	50664029	0.0114
+	rs00000013	50677804	0.000548
+	rs00000014	50715691	0.00111
+	rs00000015	50746424	0.131
+	rs00000016	50766173	0.829
+	rs00000017	51127051	0.926
+	rs00000018	51273874	0.548
+	rs00000019	51348270	0.641
+	rs00000020	51375954	0.817
